Plot,Subplot,Longitude,Latitude,Subplot_area_m2,Landform,Disturbance_level,Disturbance_approach
A00,A00G,,,1000,A,0,General
A00,A00S,,,1000,A,0,Species
A45,A45G,,,1000,A,45,General
A45,A45S,,,1000,A,45,Species
A65,A65G,,,1000,A,65,General
A65,A65S,,,1000,A,65,Species
A85,A85G,,,1000,A,85,General
A85,A85S,,,1000,A,85,Species
B00,B00G,,,1000,B,0,General
B00,B00S,,,1000,B,0,Species
B45,B45G,,,1000,B,45,General
B45,B45S,,,1000,B,45,Species
B65,B65G,,,1000,B,65,General
B65,B65S,,,1000,B,65,Species
B85,B85G,,,1000,B,85,General
B85,B85S,,,1000,B,85,Species
C00,C00G,,,1000,C,0,General
C00,C00S,,,1000,C,0,Species
C45,C45G,,,1000,C,45,General
C45,C45S,,,1000,C,45,Species
C65,C65G,,,1000,C,65,General
C65,C65S,,,1000,C,65,Species
C85,C85G,,,1000,C,85,General
C85,C85S,,,1000,C,85,Species
D00,D00G,,,1000,D,0,General
D00,D00S,,,1000,D,0,Species
D45,D45G,,,1000,D,45,General
D45,D45S,,,1000,D,45,Species
D65,D65G,,,1000,D,65,General
D65,D65S,,,1000,D,65,Species
D85,D85G,,,1000,D,85,General
D85,D85S,,,1000,D,85,Species
